A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,119,100%,96%,83%,18%,55%,58%
ABRAHAM LINCOLN HIGH SCHOOL,205,100%,95%,85%,19%,56%,65%
ACAD FOR CAREERS IN TELEVISION-FILM,38,100%,92%,71%,16%,34%,45%
ACAD FOR COLLEGE PREP AND CAREER EXP,25,100%,88%,72%,12%,32%,36%
ACAD FOR CONSERVATION & ENVIRONMENT,15,100%,73%,67%,20%,40%,53%
ACAD-SCHOLARSHIP & ENTREPRENEURSHIP,18,100%,94%,78%,22%,56%,56%
ACADEMY FOR ENVIRONMENTAL LDSHIP,18,100%,83%,61%,0%,39%,39%
ACADEMY FOR LANGUAGE AND TECHNOLOGY,29,100%,97%,72%,17%,45%,52%
ACADEMY FOR YOUNG WRITERS,0,0,0,0,0,0,0
ACADEMY OF AMERICAN STUDIES,65,100%,95%,89%,31%,62%,69%
ACADEMY OF HOSPITALITY AND TOURISM,0,0,0,0,0,0,0
ACADEMY OF INNOVATIVE TECHNOLOGY,27,100%,81%,59%,15%,41%,48%
ACADEMY OF MEDICAL TECHNOLOGY,37,100%,92%,81%,14%,41%,49%
ACADEMY OF URBAN PLANNING,18,100%,78%,61%,11%,28%,33%
ACADEMY-FINANCE & ENTERPRISE,40,100%,93%,70%,23%,45%,55%
ADDISON,16,100%,94%,69%,44%,56%,56%
ADDISON HIGH SCHOOL,16,100%,94%,69%,44%,56%,56%
ADIRONDACK,35,100%,97%,83%,31%,51%,57%
ADIRONDACK HIGH SCHOOL,35,100%,97%,83%,31%,51%,57%
AFTON,0,0,0,0,0,0,0
AFTON JUNIOR/SENIOR HIGH SCHOOL,0,0,0,0,0,0,0
AKRON,40,100%,90%,78%,35%,57%,65%
AKRON HIGH SCHOOL,40,100%,90%,78%,35%,57%,65%
ALBANY,135,100%,86%,77%,20%,41%,50%
ALBANY HIGH SCHOOL,135,100%,86%,77%,20%,41%,50%
ALBANY LEADERSHIP CHARTER HS-GIRLS,24,100%,92%,71%,13%,25%,33%
ALBION,53,100%,89%,72%,28%,47%,57%
ALDEN,58,100%,100%,88%,50%,69%,72%
ALDEN SENIOR HIGH SCHOOL,58,100%,100%,88%,50%,69%,72%
ALEXANDER,22,100%,86%,68%,36%,64%,68%
ALEXANDER HAMILTON HIGH SCHOOL,17,100%,94%,94%,29%,47%,53%
ALEXANDER MIDDLE SCHOOL-HIGH SCHOOL,22,100%,86%,68%,36%,64%,68%
ALEXANDRIA CENTRAL HIGH SCHOOL,11,100%,82%,64%,45%,64%,64%
ALEXANDRIA CSD,15,100%,87%,73%,47%,67%,73%
ALFRED ALMOND,16,100%,100%,94%,50%,75%,75%
ALFRED E SMITH CAREER-TECH HIGH SCH,26,100%,92%,62%,8%,27%,38%
ALFRED-ALMOND JUNIOR-SENIOR HIGH SCH,16,100%,100%,94%,50%,75%,75%
ALL CITY LEADERSHIP SECONDARY SCH,11,100%,82%,73%,0%,27%,36%
ALLEGANY-LIMESTONE,19,100%,84%,63%,37%,42%,58%
ALLEGANY-LIMESTONE HIGH SCHOOL,19,100%,84%,63%,37%,42%,58%
ALTMAR-PARISH,31,100%,84%,65%,23%,42%,48%
ALTMAR-PARISH-WILLIAMSTOWN JR/SR HS,31,100%,84%,65%,23%,42%,48%
AMERICAN SIGN LANG & ENG SECONDAR,0,0,0,0,0,0,0
AMHERST,67,100%,96%,85%,36%,55%,60%
AMHERST CENTRAL HIGH SCHOOL,67,100%,96%,85%,36%,55%,60%
AMITYVILLE,59,100%,93%,76%,10%,34%,41%
AMITYVILLE MEMORIAL HIGH SCHOOL,59,100%,93%,76%,10%,34%,41%
AMSTERDAM,59,100%,85%,66%,34%,46%,51%
AMSTERDAM HIGH SCHOOL,59,100%,85%,66%,34%,46%,51%
ANDOVER,10,100%,100%,80%,60%,80%,80%
ANDOVER SCHOOL,10,100%,100%,80%,60%,80%,80%
ANTONIA PANTOJA PREP ACADEMY,15,100%,100%,93%,0%,53%,53%
ARCADIA HIGH SCHOOL,106,100%,81%,74%,25%,42%,45%
ARCHIMEDES ACAD-MATH, SCI, TECH,19,100%,89%,47%,5%,32%,32%
ARDSLEY,21,100%,100%,95%,43%,67%,71%
ARDSLEY HIGH SCHOOL,21,100%,100%,95%,43%,67%,71%
ARGYLE,17,100%,82%,76%,41%,59%,65%
ARGYLE JUNIOR/SENIOR HIGH SCHOOL,17,100%,82%,76%,41%,59%,65%
ARKPORT,12,100%,83%,83%,33%,67%,67%
ARKPORT CENTRAL SCHOOL,12,100%,83%,83%,33%,67%,67%
ARLINGTON,163,100%,90%,82%,41%,61%,64%
ARLINGTON HIGH SCHOOL,163,100%,90%,82%,41%,61%,64%
ART AND DESIGN HIGH SCHOOL,81,100%,99%,91%,25%,56%,68%
ARTURO A SCHOMBURG SATTELLITE-BRONX,12,100%,67%,58%,0%,0%,0%
ASTOR COLLEGIATE ACADEMY,27,100%,96%,89%,22%,59%,70%
ATHENA HIGH SCHOOL,81,100%,91%,81%,32%,48%,51%
ATTICA,40,100%,95%,73%,43%,50%,60%
ATTICA SENIOR HIGH SCHOOL,40,100%,95%,73%,43%,50%,60%
AUBURN,130,100%,92%,79%,38%,52%,58%
AUBURN HIGH SCHOOL,130,100%,92%,79%,38%,52%,58%
AUGUST MARTIN HIGH SCHOOL,45,100%,91%,76%,18%,40%,58%
AUSABLE VALLEY,37,100%,86%,68%,35%,49%,49%
AUSABLE VALLEY HIGH SCHOOL,37,100%,86%,68%,35%,49%,49%
AUTOMOTIVE HIGH SCHOOL,19,100%,89%,58%,5%,16%,26%
AVERILL PARK,69,100%,97%,87%,39%,64%,71%
AVERILL PARK HIGH SCHOOL,69,100%,97%,87%,39%,64%,71%
AVIATION CAREER AND TECH HIGH SCHOOL,229,100%,97%,86%,25%,59%,66%
AVOCA,0,0,0,0,0,0,0
AVOCA CENTRAL SCHOOL,0,0,0,0,0,0,0
AVON,36,100%,92%,81%,56%,64%,67%
AVON HIGH SCHOOL,36,100%,92%,81%,56%,64%,67%
BABYLON,21,100%,76%,71%,48%,71%,71%
BABYLON JUNIOR-SENIOR HIGH SCHOOL,21,100%,76%,71%,48%,71%,71%
BACCALAUREATE SCHOOL-GLOBAL ED,25,100%,100%,96%,44%,68%,68%
BAINBRIDGE GUILFRD,18,100%,100%,78%,28%,50%,61%
BAINBRIDGE-GUILFORD HIGH SCHOOL,18,100%,100%,78%,28%,50%,61%
BALDWIN,117,100%,97%,85%,29%,53%,56%
BALDWIN SENIOR HIGH SCHOOL,117,100%,97%,85%,29%,53%,56%
BALDWINSVILLE,124,100%,92%,84%,40%,61%,71%
BALLSTON SPA,93,100%,88%,71%,35%,48%,52%
BALLSTON SPA SENIOR HIGH SCHOOL,93,100%,88%,71%,35%,48%,52%
BANANA KELLY HIGH SCHOOL,14,100%,100%,57%,14%,36%,36%
BARD HIGH SCH EARLY COLLEGE QUEENS,52,100%,100%,98%,73%,92%,92%
BARD HIGH SCHOOL EARLY COLLEGE,24,100%,100%,96%,71%,79%,79%
BARKER,23,100%,87%,74%,26%,43%,52%
BARKER JR/SR HIGH SCHOOL,23,100%,87%,74%,26%,43%,52%
BARUCH COLLEGE CAMPUS HIGH SCHOOL,58,100%,98%,90%,43%,78%,79%
BATAVIA,67,100%,93%,75%,40%,48%,54%
BATAVIA HIGH SCHOOL,67,100%,93%,75%,40%,48%,54%
BATH,30,100%,90%,77%,37%,47%,53%
BAY SHORE,118,100%,92%,83%,25%,48%,58%
BAY SHORE SENIOR HIGH SCHOOL,118,100%,92%,83%,25%,48%,58%
BAYPORT BLUE POINT,33,100%,97%,97%,52%,61%,67%
BAYPORT-BLUE POINT HIGH SCHOOL,33,100%,97%,97%,52%,61%,67%
BAYSIDE HIGH SCHOOL,339,100%,96%,88%,30%,60%,65%
BEACON,63,100%,89%,78%,29%,51%,59%
BEACON HIGH SCHOOL,63,100%,89%,78%,29%,51%,59%
BEACON HIGH SCHOOL,77,100%,97%,92%,48%,74%,75%
BEAVER RIVER,28,100%,89%,86%,29%,57%,64%
BEAVER RIVER HIGH SCHOOL,28,100%,89%,86%,29%,57%,64%
BEDFORD,52,100%,94%,79%,52%,58%,62%
BEDFORD ACADEMY HIGH SCHOOL,41,100%,98%,95%,39%,56%,59%
BEEKMANTOWN,52,100%,96%,79%,37%,46%,48%
BEEKMANTOWN HIGH SCHOOL,52,100%,96%,79%,37%,46%,48%
BELFAST,0,0,0,0,0,0,0
BELFAST SCHOOL,0,0,0,0,0,0,0
BELLEVILLE HENDERSON CENTRAL SCHOOL,12,100%,75%,42%,17%,17%,17%
BELLEVILLE-HENDERS,12,100%,75%,42%,17%,17%,17%
BELLMORE-MERRICK,180,100%,96%,89%,49%,72%,75%
BELLPORT SENIOR HIGH SCHOOL,74,100%,91%,82%,18%,42%,45%
BELMONT PREPARATORY HIGH SCHOOL,25,100%,84%,76%,12%,40%,52%
BEMUS POINT,18,100%,83%,78%,56%,67%,67%
BENJAMIN BANNEKER ACADEMY,61,100%,92%,82%,30%,54%,61%
BENJAMIN N CARDOZO HIGH SCHOOL,406,100%,98%,90%,37%,67%,72%
BERLIN,18,100%,94%,89%,56%,78%,78%
BERLIN HIGH SCHOOL,18,100%,94%,89%,56%,78%,78%
BERNE KNOX,19,100%,74%,63%,16%,32%,32%
BERNE-KNOX-WESTERLO JUNIOR-SENIOR HS,19,100%,74%,63%,16%,32%,32%
BETHLEHEM,66,100%,91%,79%,44%,58%,65%
BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,66,100%,91%,79%,44%,58%,65%
BETHPAGE,53,100%,96%,83%,42%,64%,66%
BETHPAGE SENIOR HIGH SCHOOL,53,100%,96%,83%,42%,64%,66%
BINGHAMTON,138,100%,94%,79%,20%,40%,52%
BINGHAMTON HIGH SCHOOL,138,100%,94%,79%,20%,40%,52%
BLOOMFIELD HIGH SCHOOL,32,100%,88%,81%,38%,53%,56%
BOLIVAR-RICHBURG,33,100%,85%,76%,42%,55%,58%
BOLIVAR-RICHBURG JUNIOR-SENIOR HS,33,100%,85%,76%,42%,55%,58%
BOLTON,11,100%,91%,82%,27%,55%,64%
BOLTON CENTRAL SCHOOL,11,100%,91%,82%,27%,55%,64%
BOYS AND GIRLS HIGH SCHOOL,65,100%,92%,75%,15%,34%,38%
BRASHER FALLS,25,100%,84%,72%,32%,36%,36%
BRENTWOOD,361,100%,93%,78%,16%,41%,46%
BRENTWOOD HIGH SCHOOL,361,100%,93%,78%,16%,41%,46%
BREWSTER,53,100%,92%,89%,47%,64%,66%
BREWSTER HIGH SCHOOL,53,100%,92%,89%,47%,64%,66%
BRIARCLIFF HIGH SCHOOL,0,0,0,0,0,0,0
BRIARCLIFF MANOR,0,0,0,0,0,0,0
BRIGHTON,68,100%,94%,84%,43%,65%,72%
BRIGHTON HIGH SCHOOL,68,100%,94%,84%,43%,65%,72%
BROADALBIN-PERTH,28,100%,100%,89%,39%,64%,64%
BROADALBIN-PERTH HIGH SCHOOL,28,100%,100%,89%,39%,64%,64%
BROCKPORT,90,100%,83%,71%,16%,46%,51%
BROCKPORT HIGH SCHOOL,90,100%,83%,71%,16%,46%,51%
BROCTON,10,100%,90%,70%,30%,40%,60%
BROCTON MIDDLE HIGH SCHOOL,10,100%,90%,70%,30%,40%,60%
BRONX ACADEMY OF HEALTH CAREERS,35,100%,89%,74%,20%,37%,54%
BRONX AEROSPACE HIGH SCHOOL,15,100%,93%,87%,0%,20%,33%
BRONX BRIDGES HIGH SCHOOL,27,100%,89%,70%,7%,44%,48%
BRONX CAREER AND COLLEGE PREP HS,21,100%,100%,86%,5%,43%,48%
BRONX CENTER FOR SCI & MATH,58,100%,93%,88%,28%,60%,64%
BRONX COLLEGIATE ACADEMY,23,100%,83%,70%,22%,52%,70%
BRONX EARLY COL ACAD-TEACH/LEARN,32,100%,91%,84%,25%,34%,34%
BRONX ENG & TECH ACADEMY,27,100%,93%,74%,7%,26%,41%
BRONX GUILD HIGH SCHOOL,21,100%,81%,52%,5%,19%,24%
BRONX HEALTH SCIENCES HIGH SCHOOL,37,100%,100%,86%,19%,59%,65%
BRONX HIGH SCH-WRITING & COMM ARTS,33,100%,94%,79%,15%,36%,42%
BRONX HIGH SCHOOL FOR MEDICAL SCIE,38,100%,95%,87%,21%,47%,53%
BRONX HIGH SCHOOL FOR THE VISUAL ART,25,100%,84%,76%,28%,48%,60%
BRONX HIGH SCHOOL OF BUSINESS,37,100%,97%,70%,16%,30%,43%
BRONX HIGH SCHOOL OF SCIENCE,267,100%,99%,96%,49%,71%,72%
BRONX HIGH SCHOOL-LAW & COMM SVC,41,100%,88%,61%,24%,39%,46%
BRONX INTERNATIONAL HIGH SCHOOL,21,100%,95%,86%,24%,38%,52%
BRONX LAB SCHOOL,42,100%,86%,55%,12%,21%,33%
BRONX LATIN SCHOOL,19,100%,89%,63%,11%,37%,37%
BRONX LEADERSHIP ACAD HIGH SCHOOL,62,100%,90%,73%,16%,44%,53%
BRONX LEADERSHIP ACAD II HIGH SCHOOL,42,100%,90%,71%,17%,33%,38%
BRONX PREP CHARTER SCHOOL,29,100%,97%,86%,31%,55%,59%
BRONX REGIONAL HIGH SCHOOL,0,0,0,0,0,0,0
BRONX SCHOOL FOR LAW, GOV, JUSTICE,60,100%,93%,78%,15%,40%,52%
BRONX SCHOOL OF LAW & FINANCE,19,100%,95%,68%,11%,21%,26%
BRONX STUDIO SCHOOL-WRITERS-ARTISTS,16,100%,94%,75%,19%,44%,56%
BRONX THEATRE HIGH SCHOOL,35,100%,83%,63%,20%,34%,46%
BRONXWOOD PREP ACADEMY (THE),26,100%,85%,77%,19%,42%,50%
BROOKFIELD,11,100%,100%,64%,36%,36%,36%
BROOKFIELD CENTRAL SCHOOL,11,100%,100%,64%,36%,36%,36%
BROOKHAVEN-COMSEWOGUE UFSD,81,100%,94%,78%,31%,54%,59%
BROOKLYN ACADEMY HIGH SCHOOL,0,0,0,0,0,0,0
BROOKLYN ACADEMY OF SCI & ENVIRON,38,100%,92%,87%,13%,47%,71%
BROOKLYN COLLEGE ACADEMY,75,100%,96%,92%,44%,63%,67%
BROOKLYN COLLEGIATE,24,100%,96%,92%,29%,63%,67%
BROOKLYN COMM HS-COMM, ARTS, MEDIA,24,100%,83%,54%,13%,25%,29%
BROOKLYN DEMOCRACY ACADEMY,0,0,0,0,0,0,0
BROOKLYN GENERATION SCHOOL,21,100%,95%,67%,10%,29%,52%
BROOKLYN HIGH SCHOOL OF THE ARTS,62,100%,95%,79%,24%,50%,60%
BROOKLYN HIGH SCHOOL-LAW AND TECH,24,100%,79%,71%,13%,29%,33%
BROOKLYN INTNTL HIGH SCHOOL,49,100%,92%,84%,20%,59%,63%
BROOKLYN LAB SCHOOL,27,100%,89%,74%,15%,44%,48%
BROOKLYN LATIN SCHOOL (THE),53,100%,98%,96%,45%,83%,85%
BROOKLYN PREP HIGH SCHOOL,19,100%,95%,74%,11%,16%,21%
BROOKLYN SCHOOL FOR GLOBAL STUDIES,12,100%,67%,50%,0%,33%,42%
BROOKLYN SCHOOL FOR MUSIC & THEATER,25,100%,88%,68%,12%,24%,36%
BROOKLYN SEC SCH-COLLABORATIVE,44,100%,91%,73%,9%,34%,39%
BROOKLYN STUDIO SECONDARY SCHOOL,66,100%,97%,88%,21%,48%,59%
BROOKLYN TECH HIGH SCHOOL,695,100%,99%,95%,52%,80%,81%
BROOKLYN THEATRE ARTS HIGH SCHOOL,25,100%,84%,52%,8%,48%,56%
BROWNSVILLE  ACADEMY HIGH SCHOOL,0,0,0,0,0,0,0
BRUNSWICK CENTRAL,25,100%,88%,80%,44%,60%,64%
BRUSHTON MOIRA,19,100%,100%,68%,32%,42%,53%
BRUSHTON-MOIRA HIGH SCHOOL,19,100%,100%,68%,32%,42%,53%
BUFFALO,749,100%,87%,65%,16%,31%,38%
BUFFALO ACAD-SCI CHARTER SCHOOL,27,100%,81%,59%,4%,7%,15%
BUFFALO ACADEMY-VIS & PERF ARTS,64,100%,95%,75%,23%,38%,48%
BURGARD VOC HIGH SCHOOL,43,100%,86%,53%,2%,21%,23%
BURNT HILLS,60,100%,92%,83%,37%,65%,68%
BURNT HILLS-BALLSTON LAKE SR HS,60,100%,92%,83%,37%,65%,68%
BUSHWICK COMM HIGH SCHOOL,11,100%,82%,45%,9%,9%,9%
BUSHWICK LEADERS HS-ACAD EXCELL,28,100%,82%,71%,14%,50%,57%
BUSHWICK SCHOOL FOR SOCIAL JUSTICE,33,100%,91%,64%,9%,24%,33%
BUSINESS OF SPORTS SCHOOL,33,100%,85%,73%,18%,45%,45%
BYRAM HILLS,16,100%,94%,88%,50%,75%,81%
BYRAM HILLS HIGH SCHOOL,16,100%,94%,88%,50%,75%,81%
BYRON BERGEN,14,100%,100%,79%,36%,71%,71%
BYRON-BERGEN JR/SR HIGH SCHOOL,14,100%,100%,79%,36%,71%,71%
Bronx - District 10 (NYC),1,328,100%,93%,82%,26%,51%,58%
Bronx - District 11 (NYC),593,100%,90%,73%,16%,39%,49%
Bronx - District 12 (NYC),335,100%,90%,73%,15%,39%,45%
Bronx - District 7 (NYC),448,100%,91%,73%,17%,36%,45%
Bronx - District 8 (NYC),548,100%,93%,76%,17%,45%,52%
Bronx - District 9 (NYC),663,100%,91%,76%,18%,41%,49%
Brooklyn - District 13 (NYC),1,167,100%,96%,88%,40%,65%,69%
Brooklyn - District 14 (NYC),504,100%,89%,71%,16%,39%,47%
Brooklyn - District 15 (NYC),377,100%,92%,73%,10%,36%,45%
Brooklyn - District 16 (NYC),110,100%,86%,68%,13%,30%,35%
Brooklyn - District 17 (NYC),588,100%,93%,78%,20%,44%,52%
Brooklyn - District 18 (NYC),264,100%,89%,69%,13%,35%,44%
Brooklyn - District 19 (NYC),305,100%,90%,68%,8%,27%,38%
Brooklyn - District 20 (NYC),1,153,100%,97%,88%,27%,61%,69%
Brooklyn - District 21 (NYC),1,131,100%,96%,86%,24%,55%,64%
Brooklyn - District 22 (NYC),1,107,100%,98%,91%,36%,69%,73%
Brooklyn - District 23 (NYC),100,100%,87%,71%,18%,39%,46%
Brooklyn - District 32 (NYC),160,100%,86%,66%,9%,33%,41%
CAIRO-DURHAM,28,100%,93%,82%,43%,61%,68%
CAIRO-DURHAM HIGH SCHOOL,28,100%,93%,82%,43%,61%,68%
CALEDONIA MUMFORD,26,100%,88%,77%,31%,58%,65%
CALEDONIA-MUMFORD HIGH SCHOOL,26,100%,88%,77%,31%,58%,65%
CAMBRIA HEIGHTS ACADEMY,15,100%,100%,73%,20%,27%,47%
CAMBRIDGE,24,100%,96%,88%,33%,63%,67%
CAMDEN,61,100%,95%,79%,20%,48%,51%
CAMDEN SENIOR HIGH SCHOOL,61,100%,95%,79%,20%,48%,51%
CAMPBELL-SAVONA,14,100%,79%,64%,36%,50%,57%
CAMPBELL-SAVONA JR/SR HIGH SCHOOL,14,100%,79%,64%,36%,50%,57%
CANAJOHARIE,24,100%,79%,71%,33%,58%,63%
CANAJOHARIE SENIOR HIGH SCHOOL,24,100%,79%,71%,33%,58%,63%
CANANDAIGUA,84,100%,88%,74%,35%,55%,56%
CANANDAIGUA ACADEMY,84,100%,88%,74%,35%,55%,56%
CANASTOTA,41,100%,83%,68%,17%,41%,59%
CANASTOTA HIGH SCHOOL,41,100%,83%,68%,17%,41%,59%
CANDOR,17,100%,71%,59%,29%,47%,53%
CANDOR JUNIOR-SENIOR HIGH SCHOOL,17,100%,71%,59%,29%,47%,53%
CANISTEO-GREENWOOD CSD,21,100%,95%,67%,33%,43%,62%
CANISTEO-GREENWOOD HIGH SCHOOL,21,100%,95%,67%,33%,43%,62%
CANTON,29,100%,97%,86%,52%,62%,66%
CARLE PLACE,28,100%,86%,71%,43%,57%,64%
CARLE PLACE MIDDLE SENIOR HIGH SCH,28,100%,86%,71%,43%,57%,64%
CARMEL,72,100%,90%,85%,33%,56%,61%
CARMEL HIGH SCHOOL,72,100%,90%,85%,33%,56%,61%
CARTHAGE,50,100%,86%,72%,22%,38%,50%
CARTHAGE SENIOR HIGH SCHOOL,50,100%,86%,72%,22%,38%,50%
CASCADES HIGH SCHOOL,24,100%,83%,63%,0%,17%,21%
CASSADAGA VALLEY,27,100%,81%,67%,26%,37%,44%
CASSADAGA VALLEY HIGH SCHOOL,27,100%,81%,67%,26%,37%,44%
CATO MERIDIAN,28,100%,100%,86%,29%,50%,54%
CATO-MERIDIAN SENIOR HIGH SCHOOL,28,100%,100%,86%,29%,50%,54%
CATSKILL,35,100%,89%,71%,26%,40%,49%
CATSKILL SENIOR HIGH SCHOOL,35,100%,89%,71%,26%,40%,49%
CATTARAUGUS,23,100%,96%,87%,30%,48%,57%
CATTARAUGUS-LITTLE VALLEY HS,23,100%,96%,87%,30%,48%,57%
CAZENOVIA,35,100%,94%,86%,43%,66%,69%
CAZENOVIA HIGH SCHOOL,35,100%,94%,86%,43%,66%,69%
CELIA CRUZ BRONX HS OF MUSIC (THE),58,100%,90%,78%,19%,48%,57%
CENTER MORICHES,25,100%,96%,88%,28%,56%,64%
CENTER MORICHES HIGH SCHOOL,25,100%,96%,88%,28%,56%,64%
CENTEREACH HIGH SCHOOL,114,100%,96%,89%,36%,61%,68%
CENTRAL ISLIP,104,100%,93%,79%,17%,38%,47%
CENTRAL ISLIP SENIOR HIGH SCHOOL,104,100%,93%,79%,17%,38%,47%
CENTRAL PARK EAST HIGH SCHOOL,86,100%,97%,87%,23%,51%,60%
CENTRAL SQUARE,117,100%,89%,75%,27%,47%,50%
CHANNEL VIEW SCHOOL FOR RESEARCH,46,100%,91%,74%,20%,43%,48%
CHAPPAQUA,12,100%,100%,92%,58%,83%,83%
CHARLES D'AMICO HIGH SCHOOL,53,100%,89%,72%,28%,47%,57%
CHARLES O DICKERSON HIGH SCHOOL,27,100%,100%,89%,44%,59%,59%
CHARLES W BAKER HIGH SCHOOL,124,100%,92%,84%,40%,61%,71%
CHARLOTTE VALLEY,13,100%,92%,62%,23%,38%,38%
CHARLOTTE VALLEY SCHOOL,13,100%,92%,62%,23%,38%,38%
CHARTER SCHOOL FOR APPLIED TECHNOLOG,53,100%,81%,60%,13%,25%,36%
CHATEAUGAY,13,100%,92%,85%,23%,31%,31%
CHATEAUGAY HIGH SCHOOL,13,100%,92%,85%,23%,31%,31%
CHATHAM,37,100%,92%,78%,41%,70%,76%
CHATHAM HIGH SCHOOL,37,100%,92%,78%,41%,70%,76%
CHAUTAUQUA LAKE,34,100%,85%,76%,29%,53%,56%
CHAUTAUQUA LAKE SECONDARY SCHOOL,34,100%,85%,76%,29%,53%,56%
CHAZY,21,100%,100%,86%,57%,76%,76%
CHAZY CENTRAL RURAL JUNIOR-SENIOR HS,21,100%,100%,86%,57%,76%,76%
CHEEKTOWAGA,69,100%,88%,72%,28%,43%,48%
CHEEKTOWAGA HIGH SCHOOL,69,100%,88%,72%,28%,43%,48%
CHELSEA CAREER AND TECH ED HS,40,100%,90%,60%,5%,30%,35%
CHENANGO FORKS,43,100%,86%,72%,33%,58%,63%
CHENANGO FORKS HIGH SCHOOL,43,100%,86%,72%,33%,58%,63%
CHENANGO VALLEY,51,100%,94%,86%,35%,49%,65%
CHENANGO VALLEY HIGH SCHOOL,51,100%,94%,86%,35%,49%,65%
CHERRY VALLEY-SPRINGFIELD CENTRAL,17,100%,88%,47%,29%,47%,53%
CHERRY VLY-SPRGFLD,17,100%,88%,47%,29%,47%,53%
CHESTER,29,100%,97%,90%,41%,62%,66%
CHESTER ACADEMY-MIDDLE/HIGH SCHOOL,29,100%,97%,90%,41%,62%,66%
CHITTENANGO,47,100%,91%,72%,36%,53%,55%
CHITTENANGO HIGH SCHOOL,47,100%,91%,72%,36%,53%,55%
CHURCHVILLE CHILI,99,100%,93%,85%,39%,63%,67%
CHURCHVILLE-CHILI SENIOR HIGH SCHOOL,99,100%,93%,85%,39%,63%,67%
CICERO-NORTH SYRACUSE HIGH SCHOOL,250,100%,91%,82%,36%,57%,62%
CINCINNATUS,18,100%,89%,83%,44%,44%,44%
CINCINNATUS HIGH SCHOOL,18,100%,89%,83%,44%,44%,44%
CINEMA SCHOOL (THE),22,100%,86%,77%,23%,64%,68%
CITY COLLEGE ACADEMY OF THE ARTS,44,100%,100%,89%,48%,64%,68%
CITY HONORS SCH-F MASTEN PK,47,100%,94%,87%,32%,51%,62%
CITY POLYTECHNIC HIGH SCHOOL,0,0,0,0,0,0,0
CIVIC LEADERSHIP ACADEMY,28,100%,96%,79%,21%,36%,43%
CLARA BARTON HIGH SCHOOL,138,100%,96%,88%,26%,59%,64%
CLARENCE,99,100%,95%,90%,39%,71%,80%
CLARENCE SENIOR HIGH SCHOOL,99,100%,95%,90%,39%,71%,80%
CLARKSTOWN,129,100%,95%,91%,43%,74%,78%
CLARKSTOWN NORTH SENIOR HIGH SCHOOL,66,100%,95%,91%,41%,71%,77%
CLARKSTOWN SOUTH SENIOR HIGH SCHOOL,61,100%,93%,90%,44%,75%,77%
CLAYTON A BOUTON HIGH SCHOOL,16,100%,100%,100%,56%,88%,88%
CLEVELAND HILL,44,100%,95%,82%,32%,70%,70%
CLEVELAND HILL HIGH SCHOOL,44,100%,95%,82%,32%,70%,70%
CLIFTON FINE,0,0,0,0,0,0,0
CLIFTON-FINE JUNIOR-SENIOR HIGH SCH,0,0,0,0,0,0,0
CLINTON,26,100%,81%,73%,31%,42%,54%
