A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,119,100%,96%,83%,18%,55%,58%
CLINTON SENIOR HIGH SCHOOL,26,100%,81%,73%,31%,42%,54%
CLYDE-SAVANNAH,23,100%,91%,78%,26%,48%,57%
CLYDE-SAVANNAH HIGH SCHOOL,23,100%,91%,78%,26%,48%,57%
CLYMER,10,100%,70%,50%,40%,40%,50%
CLYMER CENTRAL SCHOOL,10,100%,70%,50%,40%,40%,50%
COBBLE HILL SCHOOL OF AMERICAN STUD,28,100%,93%,71%,4%,21%,32%
COBLESKILL-RICHMONDVILLE HIGH SCHOOL,40,100%,88%,83%,43%,65%,68%
COBLSKL-RCHMDVL,40,100%,88%,83%,43%,65%,68%
COHOES,34,100%,82%,44%,24%,29%,35%
COHOES HIGH SCHOOL,34,100%,82%,44%,24%,29%,35%
COLD SPRING HARBOR,0,0,0,0,0,0,0
COLD SPRING HARBOR HIGH SCHOOL,0,0,0,0,0,0,0
COLLEGE ACADEMY (THE),42,100%,100%,74%,10%,29%,36%
COLLEGIATE INST FOR MATH & SCI,47,100%,85%,74%,19%,43%,49%
COLONIE CENTRAL HIGH SCHOOL,131,100%,91%,77%,43%,61%,65%
COLTON PIERREPONT,11,100%,82%,73%,45%,45%,64%
COLTON-PIERREPONT CENTRAL SCHOOL,11,100%,82%,73%,45%,45%,64%
COLUMBIA HIGH SCHOOL,93,100%,83%,71%,40%,52%,58%
COLUMBIA SECONDARY SCHOOL,36,100%,97%,94%,39%,64%,75%
COMMACK,102,100%,93%,90%,49%,71%,76%
COMMACK HIGH SCHOOL,102,100%,93%,90%,49%,71%,76%
COMMUNITY HEALTH ACAD OF THE HEIGHTS,20,100%,90%,70%,10%,30%,50%
COMMUNITY SCHOOL-SOCIAL JUSTICE,29,100%,86%,69%,24%,34%,45%
COMSEWOGUE HIGH SCHOOL,81,100%,94%,78%,31%,54%,59%
CONNETQUOT,117,100%,92%,84%,45%,68%,74%
CONNETQUOT HIGH SCHOOL,117,100%,92%,84%,45%,68%,74%
COOPERSTOWN,23,100%,96%,96%,48%,57%,57%
COOPERSTOWN JR/SR HIGH SCHOOL,23,100%,96%,96%,48%,57%,57%
COPENHAGEN,14,100%,100%,71%,21%,57%,64%
COPENHAGEN CENTRAL SCHOOL,14,100%,100%,71%,21%,57%,64%
COPIAGUE,97,100%,96%,81%,26%,51%,57%
CORCORAN HIGH SCHOOL,115,100%,90%,71%,17%,29%,37%
CORINTH,25,100%,84%,72%,36%,52%,56%
CORINTH HIGH SCHOOL,25,100%,84%,72%,36%,52%,56%
CORNING,88,100%,84%,73%,36%,52%,56%
CORNING-PAINTED POST EAST HIGH SCH,47,100%,89%,79%,38%,51%,55%
CORNWALL,49,100%,92%,82%,41%,53%,59%
CORNWALL CENTRAL HIGH SCHOOL,49,100%,92%,82%,41%,53%,59%
CORTLAND,72,100%,94%,74%,33%,50%,56%
CORTLAND JUNIOR-SENIOR HIGH SCHOOL,72,100%,94%,74%,33%,50%,56%
COXSACKIE ATHENS,36,100%,92%,75%,25%,47%,53%
COXSACKIE-ATHENS HIGH SCHOOL,36,100%,92%,75%,25%,47%,53%
CROTON HARMON,14,100%,93%,93%,50%,79%,79%
CROTON-HARMON  HIGH SCHOOL,14,100%,93%,93%,50%,79%,79%
CSI HS-INTERNATIONAL STUDIES,45,100%,96%,84%,38%,56%,60%
CUBA-RUSHFORD,24,100%,88%,75%,54%,71%,79%
CUBA-RUSHFORD HIGH SCHOOL,24,100%,88%,75%,54%,71%,79%
CULTURAL ACADEMY-ARTS AND SCIENCES,11,100%,73%,64%,0%,9%,18%
CURTIS HIGH SCHOOL,178,100%,90%,75%,16%,43%,49%
CYPRESS HILLS COLLEGIATE PREP SCHOOL,25,100%,88%,56%,12%,40%,48%
Charter Schools,759,100%,89%,70%,13%,32%,39%
DALTON-NUNDA,17,100%,94%,76%,35%,53%,59%
DALTON-NUNDA HIGH SCHOOL,17,100%,94%,76%,35%,53%,59%
DANSVILLE,41,100%,90%,73%,24%,49%,51%
DANSVILLE HIGH SCHOOL,41,100%,90%,73%,24%,49%,51%
DEER PARK,119,100%,93%,85%,29%,53%,62%
DEER PARK HIGH SCHOOL,119,100%,93%,85%,29%,53%,62%
DELAWARE ACADEMY HIGH SCHOOL,20,100%,85%,65%,40%,60%,65%
DELAWARE ACADEMY-DELHI,20,100%,85%,65%,40%,60%,65%
DEMOCRACY PREP CHARTER SCHOOL,0,0,0,0,0,0,0
DEPEW,54,100%,93%,76%,37%,56%,59%
DEPEW HIGH SCHOOL,54,100%,93%,76%,37%,56%,59%
DEPOSIT,10,100%,90%,80%,50%,80%,90%
DEPOSIT MIDDLE-SENIOR HIGH SCHOOL,10,100%,90%,80%,50%,80%,90%
DERUYTER,0,0,0,0,0,0,0
DERUYTER HIGH SCHOOL,0,0,0,0,0,0,0
DEWITT CLINTON HIGH SCHOOL,266,100%,94%,82%,22%,48%,60%
DISCOVERY HIGH SCHOOL,34,100%,88%,76%,26%,47%,47%
DIVISION AVENUE SENIOR HIGH SCHOOL,74,100%,95%,86%,26%,65%,68%
DOBBS FERRY,23,100%,100%,96%,39%,65%,70%
DOBBS FERRY HIGH SCHOOL,23,100%,100%,96%,39%,65%,70%
DOLGEVILLE,19,100%,95%,89%,37%,58%,58%
DOVER,21,100%,86%,71%,24%,29%,38%
DOVER HIGH SCHOOL,21,100%,86%,71%,24%,29%,38%
DOWNSVILLE,0,0,0,0,0,0,0
DOWNSVILLE CENTRAL SCHOOL,0,0,0,0,0,0,0
DR SUSAN S MCKINNEY SEC SCH-ARTS,0,0,0,0,0,0,0
DREAMYARD PREPARATORY SCHOOL,22,100%,86%,82%,14%,41%,45%
DRYDEN,49,100%,96%,88%,51%,63%,71%
DRYDEN HIGH SCHOOL,49,100%,96%,88%,51%,63%,71%
DUANESBURG,15,100%,100%,87%,40%,67%,67%
DUANESBURG HIGH SCHOOL,15,100%,100%,87%,40%,67%,67%
DUNDEE,21,100%,95%,86%,38%,67%,71%
DUNDEE JUNIOR-SENIOR HIGH SCHOOL,21,100%,95%,86%,38%,67%,71%
DUNKIRK,46,100%,93%,76%,15%,30%,37%
DUNKIRK SENIOR HIGH SCHOOL,46,100%,93%,76%,15%,30%,37%
EAGLE ACADEMY FOR YOUNG MEN,54,100%,89%,65%,6%,24%,30%
EARL L VANDERMEULEN HIGH SCHOOL,10,100%,80%,70%,20%,40%,40%
EARLY COLLEGE HIGH SCHOOL,21,100%,86%,57%,14%,29%,29%
EAST AURORA,51,100%,96%,86%,33%,51%,55%
EAST AURORA HIGH SCHOOL,51,100%,96%,86%,33%,51%,55%
EAST BLOOMFIELD,32,100%,88%,81%,38%,53%,56%
EAST BRONX ACADEMY FOR THE FUTURE,31,100%,81%,65%,13%,39%,39%
EAST GREENBUSH,93,100%,83%,71%,40%,52%,58%
EAST HAMPTON,43,100%,95%,88%,28%,65%,72%
EAST HAMPTON HIGH SCHOOL,43,100%,95%,88%,28%,65%,72%
EAST HIGH SCHOOL,73,100%,88%,56%,5%,12%,18%
EAST IRONDEQUOIT,107,100%,93%,78%,25%,47%,53%
EAST ISLIP,84,100%,90%,85%,40%,57%,62%
EAST ISLIP HIGH SCHOOL,84,100%,90%,85%,40%,57%,62%
EAST MEADOW,160,100%,93%,85%,41%,69%,74%
EAST MEADOW HIGH SCHOOL,109,100%,94%,83%,41%,65%,70%
EAST NY FAMILY ACADEMY,25,100%,96%,80%,12%,36%,40%
EAST RAMAPO,150,100%,93%,85%,23%,47%,52%
EAST ROCHESTER,40,100%,93%,83%,25%,48%,55%
EAST ROCHESTER JUNIOR-SENIOR HS,40,100%,93%,83%,25%,48%,55%
EAST ROCKAWAY,19,100%,100%,89%,21%,58%,79%
EAST ROCKAWAY JUNIOR-SENIOR HIGH SCH,19,100%,100%,89%,21%,58%,79%
EAST SIDE COMMUNITY SCHOOL,43,100%,91%,79%,37%,47%,53%
EAST SYRACUSE MINOA,125,100%,87%,75%,37%,52%,58%
EAST SYRACUSE-MINOA CENTRAL HIGH SCH,125,100%,87%,75%,37%,52%,58%
EAST WILLISTON,15,100%,93%,93%,33%,60%,67%
EAST-WEST SCHOOL OF INTERNATION STUD,48,100%,98%,81%,23%,50%,56%
EASTCHESTER,52,100%,98%,87%,44%,69%,77%
EASTCHESTER SENIOR HIGH SCHOOL,52,100%,98%,87%,44%,69%,77%
EASTPORT-SOUTH MANOR JR-SR HS,58,100%,91%,84%,31%,55%,62%
EASTRIDGE SENIOR HIGH SCHOOL,107,100%,93%,78%,25%,47%,53%
EBC HIGH SCHOOL-PUBLIC SERVICE,41,100%,90%,73%,12%,37%,49%
EDEN,35,100%,89%,89%,34%,71%,74%
EDEN JUNIOR-SENIOR HIGH SCHOOL,35,100%,89%,89%,34%,71%,74%
EDGEMONT,14,100%,100%,93%,57%,79%,79%
EDGEMONT JUNIOR-SENIOR HIGH SCHOOL,14,100%,100%,93%,57%,79%,79%
EDMESTON,16,100%,100%,88%,38%,50%,63%
EDMESTON CENTRAL SCHOOL,16,100%,100%,88%,38%,50%,63%
EDWARD A REYNOLDS WEST SIDE HS,19,100%,84%,47%,0%,16%,16%
EDWARD R MURROW HIGH SCHOOL,421,100%,97%,90%,30%,64%,72%
EDWARDS-KNOX,11,100%,91%,82%,36%,45%,55%
EDWARDS-KNOX JUNIOR-SENIOR HS,11,100%,91%,82%,36%,45%,55%
EL PUENTE ACAD FOR PEACE AND JUSTICE,15,100%,93%,87%,27%,67%,73%
ELBA,19,100%,95%,74%,58%,63%,63%
ELBA JUNIOR-SENIOR HIGH SCHOOL,19,100%,95%,74%,58%,63%,63%
ELDRED,23,100%,91%,83%,39%,61%,65%
ELDRED JUNIOR-SENIOR HIGH SCHOOL,23,100%,91%,83%,39%,61%,65%
ELEANOR ROOSEVELT HIGH SCHOOL,36,100%,97%,94%,39%,78%,78%
ELLENVILLE,37,100%,89%,68%,11%,11%,14%
ELLENVILLE HIGH SCHOOL,37,100%,89%,68%,11%,11%,14%
ELLICOTTVILLE,26,100%,85%,85%,35%,62%,65%
ELLICOTTVILLE MIDDLE/HIGH SCHOOL,26,100%,85%,85%,35%,62%,65%
ELMIRA,96,100%,94%,75%,30%,44%,50%
ELMIRA FREE ACADEMY,50,100%,92%,74%,32%,50%,58%
ELMIRA HEIGHTS,18,100%,94%,72%,17%,39%,50%
ELMONT MEMORIAL HIGH SCHOOL,126,100%,91%,77%,19%,47%,53%
ELMSFORD,17,100%,94%,94%,29%,47%,53%
ELWOOD,46,100%,93%,89%,35%,61%,65%
ELWOOD/JOHN GLENN HIGH SCHOOL,46,100%,93%,89%,35%,61%,65%
EMERSON SCHOOL OF HOSPITALITY,44,100%,89%,66%,14%,27%,34%
EMMA LAZARUS HIGH SCHOOL,10,100%,100%,100%,10%,40%,60%
ESSEX STREET ACADEMY,21,100%,95%,81%,19%,38%,57%
ESTPRT-S MANOR CSD,58,100%,91%,84%,31%,55%,62%
EVANS-BRANT,71,100%,93%,73%,30%,54%,58%
EXCELSIOR PREP HIGH SCHOOL,27,100%,89%,70%,19%,37%,44%
EXIMIUS COLL PREP ACADEMY,26,100%,88%,77%,23%,50%,50%
EXPEDITIONARY LRN SCH-COMM LEADERS,36,100%,94%,78%,19%,42%,56%
EXPLORATIONS ACADEMY,0,0,0,0,0,0,0
FABIUS-POMPEY,23,100%,100%,96%,30%,61%,74%
FABIUS-POMPEY MIDDLE SCH HIGH SCH,23,100%,100%,96%,30%,61%,74%
FACING HISTORY SCHOOL (THE),23,100%,87%,70%,17%,35%,43%
FAIRPORT,124,100%,92%,85%,38%,64%,69%
FAIRPORT SENIOR HIGH SCHOOL,124,100%,92%,85%,38%,64%,69%
FALCONER,39,100%,97%,69%,33%,51%,59%
FALCONER MIDDLE/HIGH SCHOOL,39,100%,97%,69%,33%,51%,59%
FALLSBURG JUNIOR-SENIOR HIGH SCHOOL,27,100%,89%,74%,26%,41%,44%
FALLSBURGH,27,100%,89%,74%,26%,41%,44%
FANNIE LOU HAMER FREEDOM HS,50,100%,92%,74%,16%,34%,46%
FARMINGDALE,97,100%,99%,89%,40%,63%,64%
FARMINGDALE SENIOR HIGH SCHOOL,97,100%,99%,89%,40%,63%,64%
FAYETTEVILLE-MANLIUS SENIOR HIGH SCH,96,100%,93%,84%,56%,75%,79%
FAYETTVLLE-MANLIUS,96,100%,93%,84%,56%,75%,79%
FDNY HIGH SCHOOL-FIRE & LIFE SAFETY,13,100%,85%,46%,0%,0%,8%
FILLMORE,25,100%,96%,88%,48%,72%,76%
FILLMORE CENTRAL SCHOOL,25,100%,96%,88%,48%,72%,76%
FIORELLO H LAGUARDIA HIGH SCHOOL,169,100%,97%,92%,54%,78%,80%
FLORAL PARK MEMORIAL HIGH SCHOOL,54,100%,96%,87%,28%,56%,63%
FLORIDA,14,100%,100%,93%,64%,79%,79%
FLUSHING HIGH SCHOOL,193,100%,93%,78%,13%,45%,56%
FLUSHING INTRNL HIGH SCHOOL,35,100%,94%,86%,23%,63%,71%
FONDA FULTONVILLE,37,100%,92%,78%,41%,57%,59%
FONDA-FULTONVILLE SENIOR HIGH SCHOOL,37,100%,92%,78%,41%,57%,59%
FOOD & FINANCE HIGH SCHOOL,38,100%,89%,68%,18%,32%,37%
FORDHAM HIGH SCHOOL FOR THE ARTS,24,100%,96%,88%,29%,58%,63%
FORDHAM LEADERSHIP-BUS/TECH,19,100%,89%,74%,5%,47%,53%
FOREST HILLS HIGH SCHOOL,405,100%,98%,89%,32%,66%,71%
FORESTVILLE,17,100%,94%,94%,35%,59%,76%
FORESTVILLE CENTRAL HIGH SCHOOL,17,100%,94%,94%,35%,59%,76%
FORT ANN,0,0,0,0,0,0,0
FORT ANN CENTRAL SCHOOL,0,0,0,0,0,0,0
FORT EDWARD,0,0,0,0,0,0,0
FORT EDWARD SCHOOL,0,0,0,0,0,0,0
FORT HAMILTON HIGH SCHOOL,434,100%,97%,89%,28%,65%,69%
FORT PLAIN,20,100%,85%,65%,30%,40%,45%
FORT PLAIN JUNIOR-SENIOR HIGH SCHOOL,20,100%,85%,65%,30%,40%,45%
FOX LANE HIGH SCHOOL,52,100%,94%,79%,52%,58%,62%
FRANCIS LEWIS HIGH SCHOOL,420,100%,97%,89%,32%,65%,68%
FRANK MCCOURT HIGH SCHOOL,22,100%,100%,95%,32%,64%,64%
FRANK SINATRA SCHOOL OF THE ARTS HS,47,100%,96%,85%,55%,81%,85%
FRANKFORT-SCHUYLER,26,100%,96%,73%,19%,38%,46%
FRANKFORT-SCHUYLER CENTRAL HIGH SCH,26,100%,96%,73%,19%,38%,46%
FRANKLIN,15,100%,87%,67%,33%,33%,40%
FRANKLIN ACADEMY HIGH SCHOOL,62,100%,92%,74%,23%,35%,35%
FRANKLIN CENTRAL SCHOOL,15,100%,87%,67%,33%,33%,40%
FRANKLIN D ROOSEVELT HIGH SCHOOL,242,100%,98%,87%,21%,61%,70%
FRANKLIN D ROOSEVELT SENIOR HS,68,100%,91%,75%,38%,49%,56%
FRANKLINVILLE,20,100%,95%,85%,55%,70%,70%
FRANKLINVILLE JUNIOR-SENIOR HIGH SCH,20,100%,95%,85%,55%,70%,70%
FREDERICK DOUGLASS ACAD III,25,100%,92%,76%,20%,32%,44%
FREDERICK DOUGLASS ACAD VI HS,17,100%,100%,59%,12%,29%,35%
FREDERICK DOUGLASS ACADEMY,94,100%,88%,81%,20%,53%,59%
FREDERICK DOUGLASS ACADEMY II,16,100%,94%,88%,6%,25%,38%
FREDERICK DOUGLASS ACADEMY VII,20,100%,80%,65%,15%,45%,45%
FREDERICK OLMSTED #156,36,100%,94%,86%,42%,61%,64%
FREDONIA,37,100%,97%,86%,41%,62%,65%
FREDONIA HIGH SCHOOL,37,100%,97%,86%,41%,62%,65%
FREEPORT,170,100%,94%,85%,23%,50%,62%
FREEPORT HIGH SCHOOL,170,100%,94%,85%,23%,50%,62%
FREWSBURG,18,100%,100%,94%,44%,72%,72%
FREWSBURG JUNIOR-SENIOR HIGH SCH,18,100%,100%,94%,44%,72%,72%
FRIENDSHIP,0,0,0,0,0,0,0
FRIENDSHIP CENTRAL SCHOOL,0,0,0,0,0,0,0
FRONTIER,159,100%,87%,74%,39%,60%,66%
FRONTIER SENIOR HIGH SCHOOL,159,100%,87%,74%,39%,60%,66%
FULTON,76,100%,83%,67%,25%,41%,45%
G MCCOWN EXPEDITIONARY LEARNING SCH,32,100%,97%,91%,25%,38%,41%
G RAY BODLEY HIGH SCHOOL,76,100%,83%,67%,25%,41%,45%
GALWAY,24,100%,79%,67%,8%,42%,46%
GALWAY JR/SR HIGH SCHOOL,24,100%,79%,67%,8%,42%,46%
GANANDA,30,100%,97%,90%,20%,53%,63%
GANANDA/R A CIRILLO HIGH SCHOOL,30,100%,97%,90%,20%,53%,63%
GARDEN CITY,20,100%,100%,95%,60%,70%,80%
GARDEN CITY HIGH SCHOOL,20,100%,100%,95%,60%,70%,80%
GATES CHILI,117,100%,91%,75%,34%,50%,56%
GATES-CHILI HIGH SCHOOL,117,100%,91%,75%,34%,50%,56%
GEN DOUGLAS MACARTHUR SENIOR HS,74,100%,93%,93%,42%,76%,78%
GENERAL BROWN,24,100%,88%,67%,33%,46%,50%
GENERAL BROWN JUNIOR-SENIOR HS,24,100%,88%,67%,33%,46%,50%
GENESEE VALLEY CENTRAL SCHOOL,21,100%,90%,76%,29%,57%,62%
GENESEE VALLEY CSD,21,100%,90%,76%,29%,57%,62%
GENESEO,20,100%,90%,80%,20%,40%,55%
GENESEO MIDDLE SCHOOL HIGH SCHOOL,20,100%,90%,80%,20%,40%,55%
GENEVA,59,100%,88%,66%,24%,34%,42%
GENEVA HIGH SCHOOL,59,100%,88%,66%,24%,34%,42%
GEO WASHINGTON CARVER HIGH SCHOOL,38,100%,92%,74%,13%,42%,47%
GEORGE F BAKER HIGH SCH,19,100%,89%,79%,47%,63%,74%
GEORGE W HEWLETT HIGH SCHOOL,62,100%,94%,85%,39%,61%,63%
GEORGE WESTINGHOUSE CAREER/TECH HS,77,100%,95%,79%,22%,40%,49%
GILBERTSVILLE-MOUNT UPTON JR-SR HS,12,100%,92%,67%,33%,33%,33%
GILBOA CONESVILLE,10,100%,90%,90%,40%,60%,60%
GILBOA-CONESVILLE CENTRAL SCHOOL,10,100%,90%,90%,40%,60%,60%
GLBTSVLLE-MT UPTON,12,100%,92%,67%,33%,33%,33%
GLEN COVE,62,100%,95%,82%,23%,42%,48%
GLEN COVE HIGH SCHOOL,62,100%,95%,82%,23%,42%,48%
GLENS FALLS,75,100%,95%,76%,31%,51%,56%
GLENS FALLS SENIOR HIGH SCHOOL,75,100%,95%,76%,31%,51%,56%
GLOBAL CONCEPTS CHARTER SCHOOL,10,100%,60%,40%,10%,30%,40%
GLOBAL LEARNING COLLABORATIVE (THE),18,100%,100%,72%,6%,33%,33%
GLOVERSVILLE,61,100%,84%,66%,31%,44%,52%
GLOVERSVILLE HIGH SCHOOL,61,100%,84%,66%,31%,44%,52%
GORHAM-MIDDLESEX,26,100%,85%,69%,23%,35%,42%
GORTON HIGH SCHOOL,84,100%,96%,79%,8%,35%,42%
GOSHEN,39,100%,90%,85%,38%,69%,79%
GOSHEN CENTRAL HIGH SCHOOL,39,100%,90%,85%,38%,69%,79%
GOUVERNEUR,43,100%,93%,77%,23%,47%,56%
GOUVERNEUR JUNIOR-SENIOR HIGH SCHOOL,43,100%,93%,77%,23%,47%,56%
GOWANDA,32,100%,97%,81%,41%,56%,56%
GOWANDA HIGH SCHOOL,32,100%,97%,81%,41%,56%,56%
GRAMERCY ARTS HIGH SCHOOL,31,100%,90%,68%,35%,48%,65%
GRAND ISLAND,71,100%,96%,92%,32%,56%,62%
GRAND ISLAND SENIOR HIGH SCHOOL,71,100%,96%,92%,32%,56%,62%
GRANVILLE,23,100%,78%,61%,35%,52%,61%
GRANVILLE JUNIOR-SENIOR HIGH SCHOOL,23,100%,78%,61%,35%,52%,61%
GREAT NECK,113,100%,96%,94%,50%,78%,79%
GREAT NECK NORTH HIGH SCHOOL,42,100%,98%,98%,60%,88%,90%
GREAT NECK SOUTH HIGH SCHOOL,66,100%,95%,92%,47%,73%,73%
GREECE,338,100%,85%,73%,28%,44%,50%
GREEN DOT NY CHARTER SCHOOL,0,0,0,0,0,0,0
GREEN ISLAND,0,0,0,0,0,0,0
GREEN SCHOOL-ENVIRONMENTAL CAREERS,20,100%,70%,50%,0%,5%,10%
GREEN TECH HIGH CHARTER SCHOOL,22,100%,91%,68%,5%,23%,27%
GREENBURGH,0,0,0,0,0,0,0
GREENE,39,100%,82%,62%,23%,38%,44%
GREENE HIGH SCHOOL,39,100%,82%,62%,23%,38%,44%
GREENPORT,12,100%,92%,92%,33%,58%,67%
GREENPORT HIGH SCHOOL,12,100%,92%,92%,33%,58%,67%
GREENVILLE,31,100%,87%,74%,35%,55%,58%
GREENVILLE HIGH SCHOOL,31,100%,87%,74%,35%,55%,58%
GREENWICH,22,100%,86%,68%,36%,41%,55%
GREENWICH JUNIOR-SENIOR HIGH SCHOOL,22,100%,86%,68%,36%,41%,55%
GREGORIO LUPERON HS-SCI & MATH,30,100%,93%,83%,13%,53%,60%
GRGETWN-SO OTSELIC,12,100%,100%,83%,8%,58%,67%
GRIFFITH INST HIGH SCHOOL,45,100%,93%,84%,42%,62%,73%
GROTON,21,100%,100%,86%,43%,57%,57%
GROTON JUNIOR/SENIOR HIGH SCHOOL,21,100%,100%,86%,43%,57%,57%
GROVER CLEVELAND HIGH SCHOOL,98,100%,97%,85%,12%,42%,52%
GUILDERLAND,102,100%,93%,88%,42%,65%,73%
GUILDERLAND HIGH SCHOOL,102,100%,93%,88%,42%,65%,73%
H C WILLIAMS SENIOR HIGH SCH,29,100%,97%,86%,52%,62%,66%
H FRANK CAREY HIGH SCHOOL,94,100%,90%,84%,35%,63%,72%
HADLEY LUZERNE,34,100%,91%,71%,26%,44%,53%
HADLEY-LUZERNE HIGH SCHOOL,34,100%,91%,71%,26%,44%,53%
HALDANE,22,100%,82%,77%,55%,68%,68%
HALDANE HIGH SCHOOL,22,100%,82%,77%,55%,68%,68%
HALF HOLLOW HILLS,114,100%,98%,91%,42%,66%,70%
HALF HOLLOW HILLS HIGH SCHOOL EAST,66,100%,97%,94%,44%,65%,71%
HALF HOLLOW HILLS HIGH SCHOOL WEST,48,100%,100%,88%,40%,67%,69%
HAMBURG,79,100%,96%,86%,42%,59%,67%
HAMBURG HIGH SCHOOL,79,100%,96%,86%,42%,59%,67%
HAMILTON,0,0,0,0,0,0,0
HAMILTON JUNIOR-SENIOR HIGH SCHOOL,0,0,0,0,0,0,0
HAMMOND,0,0,0,0,0,0,0
HAMMOND CENTRAL SCHOOL,0,0,0,0,0,0,0
HAMMONDSPORT,14,100%,93%,79%,50%,64%,64%
HAMMONDSPORT JUNIOR-SENIOR HIGH SCH,14,100%,93%,79%,50%,64%,64%
HAMPTON BAYS,43,100%,91%,79%,23%,44%,53%
HAMPTON BAYS HIGH SCHOOL,43,100%,91%,79%,23%,44%,53%
HANCOCK,11,100%,82%,73%,27%,55%,55%
HANCOCK JUNIOR-SENIOR HS,11,100%,82%,73%,27%,55%,55%
HANNIBAL,33,100%,88%,64%,27%,39%,39%
HANNIBAL HIGH SCHOOL,33,100%,88%,64%,27%,39%,39%
HARBORFIELDS,45,100%,96%,84%,40%,62%,67%
HARBORFIELDS HIGH SCHOOL,45,100%,96%,84%,40%,62%,67%
HARLEM CHILDREN'S ZONE PROMISE,0,0,0,0,0,0,0
HARLEM VILLAGE ACAD CHARTER,17,100%,100%,88%,35%,59%,65%
HARPURSVILLE,33,100%,100%,79%,48%,67%,70%
HARPURSVILLE JUNIOR-SENIOR HIGH SCH,33,100%,100%,79%,48%,67%,70%
HARRISON,41,100%,90%,88%,39%,61%,63%
HARRISON HIGH SCHOOL,41,100%,90%,88%,39%,61%,63%
HARRISVILLE,10,100%,90%,70%,30%,30%,40%
HARRISVILLE JUNIOR-SENIOR HIGH SCH,10,100%,90%,70%,30%,30%,40%
HARRY S TRUMAN HIGH SCHOOL,110,100%,86%,70%,21%,39%,45%
HARTFORD,0,0,0,0,0,0,0
HARTFORD CENTRAL SCHOOL,0,0,0,0,0,0,0
HASTINGS HIGH SCHOOL,12,100%,100%,75%,33%,58%,58%
HASTINGS ON HUDSON,12,100%,100%,75%,33%,58%,58%
HAUPPAUGE,75,100%,96%,87%,43%,65%,67%
HAUPPAUGE HIGH SCHOOL,75,100%,96%,87%,43%,65%,67%
HAVERLING SENIOR HIGH SCHOOL,30,100%,90%,77%,37%,47%,53%
HAVERSTRAW-STONY POINT,155,100%,95%,88%,30%,54%,63%
HEALTH OPPORTUNITIES HIGH SCHOOL,31,100%,94%,77%,19%,52%,58%
HEALTH SCIENCES CHARTER SCHOOL,42,100%,86%,64%,10%,21%,24%
HEATLY SCHOOL,0,0,0,0,0,0,0
HEMPSTEAD,70,100%,94%,69%,19%,31%,47%
HEMPSTEAD HIGH SCHOOL,70,100%,94%,69%,19%,31%,47%
HENDRICK HUDSON,45,100%,96%,84%,31%,60%,67%
HENDRICK HUDSON HIGH SCHOOL,45,100%,96%,84%,31%,60%,67%
HENNINGER HIGH SCHOOL,138,100%,88%,63%,15%,29%,37%
HENRY STREET SCHOOL,11,100%,100%,100%,18%,82%,82%
HERBERT H LEHMAN HIGH SCHOOL,215,100%,95%,82%,22%,49%,60%
HERITAGE SCHOOL (THE),17,100%,88%,59%,6%,29%,47%
HERKIMER,36,100%,97%,81%,31%,44%,44%
HERKIMER HIGH SCHOOL,36,100%,97%,81%,31%,44%,44%
HERMON-DEKALB,0,0,0,0,0,0,0
